name,url,paradigms
A# .NET,http://en.wikipedia.org/wiki/A_Sharp_(.NET),
A# (Axiom),http://en.wikipedia.org/wiki/A_Sharp_(Axiom),"['multi-paradigm', 'object-oriented', 'functional']"
A-0 System,http://en.wikipedia.org/wiki/A-0_System,
A+,http://en.wikipedia.org/wiki/A%2B_(programming_language),['array']
A++,http://en.wikipedia.org/wiki/A%2B%2B,
ABAP,http://en.wikipedia.org/wiki/ABAP,"['object-oriented', 'structured', 'imperative']"
ABC,http://en.wikipedia.org/wiki/ABC_(programming_language),"['multi-paradigm', 'imperative', 'procedural', 'structured']"
ABC ALGOL,http://en.wikipedia.org/wiki/ABC_ALGOL,
ABLE,http://en.wikipedia.org/wiki/ABLE_(programming_language),
ABSET,http://en.wikipedia.org/wiki/ABSET,
ABSYS,http://en.wikipedia.org/wiki/ABSYS,['logic programming']
ACC,http://en.wikipedia.org/wiki/ACC_(programming_language),
Accent,http://en.wikipedia.org/wiki/Accent_(programming_language),
Ace DASL,http://en.wikipedia.org/wiki/Distributed_Application_Specification_Language,
ACL2,http://en.wikipedia.org/wiki/ACL2,"['functional', 'metaprogramming']"
ACT-III,http://en.wikipedia.org/wiki/LGP-30#ACT-III_programming_language,
Action!,http://en.wikipedia.org/wiki/Action!_(programming_language),
ActionScript,http://en.wikipedia.org/wiki/ActionScript,"['multi-paradigm', 'object-oriented', 'prototype-based', 'functional', 'imperative', 'scripting']"
Ada,http://en.wikipedia.org/wiki/Ada_(programming_language),['multi-paradigm']
Adenine,http://en.wikipedia.org/wiki/Adenine_(programming_language),
Agda,http://en.wikipedia.org/wiki/Agda_(theorem_prover),['functional']
Agilent VEE,http://en.wikipedia.org/wiki/Agilent_VEE,
Agora,http://en.wikipedia.org/wiki/Agora_(programming_language),
AIMMS,http://en.wikipedia.org/wiki/AIMMS,
Alef,http://en.wikipedia.org/wiki/Alef_(programming_language),"['compiled', 'concurrent', 'structured']"
ALF,http://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language,"['multi-paradigm', 'logic', 'functional']"
ALGOL 58,http://en.wikipedia.org/wiki/ALGOL_58,"['procedural', 'imperative', 'structured']"
ALGOL 60,http://en.wikipedia.org/wiki/ALGOL_60,"['procedural', 'imperative', 'structured']"
ALGOL 68,http://en.wikipedia.org/wiki/ALGOL_68,"['multi-paradigm', 'concurrent', 'imperative']"
ALGOL W,http://en.wikipedia.org/wiki/ALGOL_W,"['procedural', 'imperative', 'structured']"
Alice,http://en.wikipedia.org/wiki/Alice_(programming_language),"['multi-paradigm', 'imperative', 'functional', 'distributed', 'concurrent']"
Alma-0,http://en.wikipedia.org/wiki/Alma-0,"['multi-paradigm', 'constraint', 'imperative', 'logic']"
AmbientTalk,http://en.wikipedia.org/wiki/AmbientTalk,"['object-oriented', 'prototype-based', 'concurrent', 'event-driven', 'reflective']"
Amiga E,http://en.wikipedia.org/wiki/Amiga_E,
AMOS,http://en.wikipedia.org/wiki/AMOS_(programming_language),"['imperative', 'procedural']"
AMPL,http://en.wikipedia.org/wiki/AMPL,"['multi-paradigm', 'declarative', 'imperative']"
APL,http://en.wikipedia.org/wiki/APL_(programming_language),"['array', 'functional', 'structured', 'modular']"
App Inventor for Android's visual block language,http://en.wikipedia.org/wiki/App_Inventor_for_Android_(programming_language),
AppleScript,http://en.wikipedia.org/wiki/AppleScript,"['natural language programming', 'scripting']"
Arc,http://en.wikipedia.org/wiki/Arc_(programming_language),"['multiparadigm', 'functional', 'procedural', 'meta']"
ARexx,http://en.wikipedia.org/wiki/ARexx,
Argus,http://en.wikipedia.org/wiki/Argus_(programming_language),
AspectJ,http://en.wikipedia.org/wiki/AspectJ,['aspect-oriented']
Assembly language,http://en.wikipedia.org/wiki/Assembly_language,"['imperative', 'unstructured']"
ATS,http://en.wikipedia.org/wiki/ATS_(programming_language),"['multi-paradigm', 'imperative', 'functional']"
Ateji PX,http://en.wikipedia.org/wiki/Ateji_PX,"['object-oriented', 'pi calculus']"
AutoHotkey,http://en.wikipedia.org/wiki/AutoHotkey,
Autocoder,http://en.wikipedia.org/wiki/Autocoder,
AutoIt,http://en.wikipedia.org/wiki/AutoIt,
AutoLISP / Visual LISP,http://en.wikipedia.org/wiki/AutoLISP,
Averest,http://en.wikipedia.org/wiki/Averest,
AWK,http://en.wikipedia.org/wiki/AWK,"['scripting', 'procedural', 'data-driven']"
Axum,http://en.wikipedia.org/wiki/Axum_(programming_language),
B,http://en.wikipedia.org/wiki/B_(programming_language),
Babbage,http://en.wikipedia.org/wiki/Babbage_(programming_language),"['procedural', 'structured', 'high-level assembler']"
Bash,http://en.wikipedia.org/wiki/Bash_(Unix_shell),
BASIC,http://en.wikipedia.org/wiki/BASIC,"['non-structured', 'procedural', 'object-oriented']"
bc,http://en.wikipedia.org/wiki/Bc_(programming_language),
BCPL,http://en.wikipedia.org/wiki/BCPL,"['procedural', 'imperative', 'structured']"
BeanShell,http://en.wikipedia.org/wiki/BeanShell,"['object-oriented', 'scripting']"
Batch (Windows/Dos),http://en.wikipedia.org/wiki/Batch_file,
Bertrand,http://en.wikipedia.org/wiki/Bertrand_(programming_language),
BETA,http://en.wikipedia.org/wiki/BETA_(programming_language),['object-oriented']
Bigwig,http://en.wikipedia.org/wiki/Bigwig_(programming_language),
Bistro,http://en.wikipedia.org/wiki/Bistro_(programming_language),
BitC,http://en.wikipedia.org/wiki/BitC,
BLISS,http://en.wikipedia.org/wiki/BLISS_(programming_language),"['structured', 'imperative', 'procedural']"
Blue,http://en.wikipedia.org/wiki/Blue_(programming_language),
Bon,http://en.wikipedia.org/wiki/Bon_(programming_language),
Boo,http://en.wikipedia.org/wiki/Boo_(programming_language),['object oriented']
Boomerang,http://en.wikipedia.org/wiki/Boomerang_(programming_language),
Bourne shell,http://en.wikipedia.org/wiki/Bourne_shell,
bash,http://en.wikipedia.org/wiki/Bash_(Unix_shell),
ksh,http://en.wikipedia.org/wiki/Korn_shell,
BREW,http://en.wikipedia.org/wiki/Qualcomm_Brew,
BPEL,http://en.wikipedia.org/wiki/Business_Process_Execution_Language,
C,http://en.wikipedia.org/wiki/C_(programming_language),"['imperative', 'procedural', 'structured']"
C--,http://en.wikipedia.org/wiki/C--,['imperative']
C++,http://en.wikipedia.org/wiki/C%2B%2B,"['multi-paradigm', 'procedural', 'functional', 'object-oriented', 'generic']"
C#,http://en.wikipedia.org/wiki/C_Sharp_(programming_language),"['structured', 'imperative', 'object-oriented', 'event-driven', 'task-driven', 'functional', 'generic', 'reflective', 'concurrent']"
C/AL,http://en.wikipedia.org/wiki/C/AL,
Caché ObjectScript,http://en.wikipedia.org/wiki/Cach%C3%A9_ObjectScript,
C Shell,http://en.wikipedia.org/wiki/C_Shell,
Caml,http://en.wikipedia.org/wiki/Caml,"['multi-paradigm', 'functional', 'imperative', 'object-oriented', 'ocaml']"
Candle,http://en.wikipedia.org/wiki/Candle_(programming_language),
Cayenne,http://en.wikipedia.org/wiki/Cayenne_(programming_language),
CDuce,http://en.wikipedia.org/wiki/CDuce,
Cecil,http://en.wikipedia.org/wiki/Cecil_(programming_language),
Cel,http://en.wikipedia.org/wiki/Cel_(programming_language),
Cesil,http://en.wikipedia.org/wiki/Cesil,
Ceylon,http://en.wikipedia.org/wiki/Ceylon_(programming_language),['object-oriented']
CFEngine,http://en.wikipedia.org/wiki/CFEngine,
CFML,http://en.wikipedia.org/wiki/ColdFusion_Markup_Language,"['imperative', 'object-oriented']"
Cg,http://en.wikipedia.org/wiki/Cg_(programming_language),
Ch,http://en.wikipedia.org/wiki/Ch_(computer_programming),
Chapel,http://en.wikipedia.org/wiki/Chapel_(programming_language),"['object-oriented', 'partitioned global address space', 'parallel programming']"
CHAIN,http://en.wikipedia.org/wiki/CHAIN_(programming_language),
Charity,http://en.wikipedia.org/wiki/Charity_(programming_language),['pure functional']
Charm,http://en.wikipedia.org/wiki/Charm_(language),['structured programming']
Chef,http://en.wikipedia.org/wiki/Chef_(programming_language),
CHILL,http://en.wikipedia.org/wiki/CHILL,['procedural']
CHIP-8,http://en.wikipedia.org/wiki/CHIP-8,
chomski,http://en.wikipedia.org/wiki/Chomski,['scripting language']
ChucK,http://en.wikipedia.org/wiki/ChucK,['multi-paradigm']
CICS,http://en.wikipedia.org/wiki/CICS,
Cilk,http://en.wikipedia.org/wiki/Cilk,"['imperative', 'procedural', 'structured', 'parallel']"
CL,http://en.wikipedia.org/wiki/AS/400_Control_Language,['imperative']
Claire,http://en.wikipedia.org/wiki/Claire_(programming_language),"['multi-paradigm', 'functional', 'object-oriented', 'class-based', 'rule processing', 'reflective']"
Clarion,http://en.wikipedia.org/wiki/Clarion_(programming_language),
Clean,http://en.wikipedia.org/wiki/Clean_(programming_language),['functional']
Clipper,http://en.wikipedia.org/wiki/Clipper_(programming_language),
CLIST,http://en.wikipedia.org/wiki/CLIST,
Clojure,http://en.wikipedia.org/wiki/Clojure,['multi-paradigm']
CLU,http://en.wikipedia.org/wiki/CLU_(programming_language),"['multi-paradigm', 'object-oriented', 'procedural']"
CMS-2,http://en.wikipedia.org/wiki/CMS-2_(programming_language),['imperative']
COBOL,http://en.wikipedia.org/wiki/COBOL,"['procedural', 'imperative', 'object-oriented']"
Cobra,http://en.wikipedia.org/wiki/Cobra_(programming_language),"['multi-paradigm', 'object-oriented']"
CODE,http://en.wikipedia.org/wiki/CODE_(programming_language),
CoffeeScript,http://en.wikipedia.org/wiki/CoffeeScript,"['multi-paradigm', 'prototype-based', 'functional', 'imperative', 'scripting']"
Cola,http://en.wikipedia.org/wiki/Cola_(programming_language),
ColdC,http://en.wikipedia.org/wiki/ColdC,
ColdFusion,http://en.wikipedia.org/wiki/ColdFusion,
COMAL,http://en.wikipedia.org/wiki/COMAL,['structured']
Combined Programming Language,http://en.wikipedia.org/wiki/Combined_Programming_Language,"['multi-paradigm', 'procedural', 'imperative', 'structured', 'functional']"
COMIT,http://en.wikipedia.org/wiki/COMIT,
Common Intermediate Language,http://en.wikipedia.org/wiki/Common_Intermediate_Language,
Common Lisp,http://en.wikipedia.org/wiki/Common_Lisp,"['multi-paradigm', 'procedural', 'functional', 'object-oriented', 'meta', 'reflective', 'generic']"
COMPASS,http://en.wikipedia.org/wiki/COMPASS,
Component Pascal,http://en.wikipedia.org/wiki/Component_Pascal,"['imperative', 'structured', 'modular', 'object-oriented']"
Constraint Handling Rules,http://en.wikipedia.org/wiki/Constraint_Handling_Rules,['constraint logic programming']
Converge,http://en.wikipedia.org/wiki/Converge_(programming_language),
Cool,http://en.wikipedia.org/wiki/Cool_(programming_language),['object-oriented']
Coq,http://en.wikipedia.org/wiki/Coq,[]
Coral 66,http://en.wikipedia.org/wiki/Coral_66,"['procedural', 'imperative', 'structured']"
Corn,http://en.wikipedia.org/wiki/Corn_(emulator),
CorVision,http://en.wikipedia.org/wiki/CorVision,
COWSEL,http://en.wikipedia.org/wiki/COWSEL,
CPL,http://en.wikipedia.org/wiki/Combined_Programming_Language,"['multi-paradigm', 'procedural', 'imperative', 'structured', 'functional']"
csh,http://en.wikipedia.org/wiki/C_shell,
CSP,http://en.wikipedia.org/wiki/Communicating_sequential_processes,
Csound,http://en.wikipedia.org/wiki/Csound,
CUDA,http://en.wikipedia.org/wiki/CUDA,
Curl,http://en.wikipedia.org/wiki/Curl_(programming_language),"['multi-paradigm', 'object-oriented', 'markup']"
Curry,http://en.wikipedia.org/wiki/Curry_(programming_language),"['functional', 'logic']"
Cyclone,http://en.wikipedia.org/wiki/Cyclone_(programming_language),
Cython,http://en.wikipedia.org/wiki/Cython,
D,http://en.wikipedia.org/wiki/D_(programming_language),"['compiled', 'multi-paradigm']"
DASL,http://en.wikipedia.org/wiki/Datapoint%27s_Advanced_Systems_Language,
DASL,http://en.wikipedia.org/wiki/Distributed_Application_Specification_Language,
Dart,http://en.wikipedia.org/wiki/Dart_(programming_language),"['multi-paradigm', 'scripting', 'object-oriented', 'class-based', 'imperative', 'reflective', 'functional', 'garbage-collected']"
DataFlex,http://en.wikipedia.org/wiki/DataFlex,
Datalog,http://en.wikipedia.org/wiki/Datalog,
DATATRIEVE,http://en.wikipedia.org/wiki/DATATRIEVE,
dBase,http://en.wikipedia.org/wiki/DBase,"['imperative', 'declarative']"
dc,http://en.wikipedia.org/wiki/Dc_(computer_program),
DCL,http://en.wikipedia.org/wiki/DIGITAL_Command_Language,['imperative']
Deesel,http://en.wikipedia.org/wiki/Deesel,
Delphi,http://en.wikipedia.org/wiki/Delphi_(programming_language),"['imperative', 'structured', 'object-oriented', 'functional (delphi dialect only)', 'component-based', 'event-driven', 'generic']"
DCL,http://en.wikipedia.org/wiki/DIGITAL_Command_Language,['imperative']
DinkC,http://en.wikipedia.org/wiki/Dink_Smallwood#Modification,
DIBOL,http://en.wikipedia.org/wiki/DIBOL,"['procedural', 'imperative', 'structured']"
Dog,http://en.wikipedia.org/wiki/Sepandar_Kamvar#.22Dog.22_programming_language,
Draco,http://en.wikipedia.org/wiki/Draco_(programming_language),"['imperative', 'procedural', 'structured']"
DRAKON,http://en.wikipedia.org/wiki/DRAKON,['visual']
Dylan,http://en.wikipedia.org/wiki/Dylan_(programming_language),"['multi-paradigm', 'functional', 'object-oriented']"
DYNAMO,http://en.wikipedia.org/wiki/DYNAMO_(programming_language),
E,http://en.wikipedia.org/wiki/E_(programming_language),"['multi-paradigm', 'object-oriented', 'message passing']"
E#,http://en.wikipedia.org/wiki/E_Sharp_(programming_language),
Ease,http://en.wikipedia.org/wiki/Ease_(programming_language),"['concurrent', 'communicating sequential processes']"
Easy PL/I,http://en.wikipedia.org/wiki/PL/I,"['procedural', 'imperative', 'structured']"
Easy Programming Language,http://en.wikipedia.org/wiki/Easy_Programming_Language,
EASYTRIEVE PLUS,http://en.wikipedia.org/wiki/Easytrieve,
ECMAScript,http://en.wikipedia.org/wiki/ECMAScript,"['multi-paradigm', 'prototype-based', 'functional', 'imperative']"
Edinburgh IMP,http://en.wikipedia.org/wiki/Edinburgh_IMP,
EGL,http://en.wikipedia.org/wiki/EGL_(programming_language),
Eiffel,http://en.wikipedia.org/wiki/Eiffel_(programming_language),"['object-oriented', 'class-based', 'generic', 'concurrent']"
ELAN,http://en.wikipedia.org/wiki/ELAN_(programming_language),[]
Elixir,http://en.wikipedia.org/wiki/Elixir_(programming_language),"['multi-paradigm', 'functional', 'concurrent', 'distributed', 'process-oriented']"
Elm,http://en.wikipedia.org/wiki/Elm_(programming_language),['functional']
Emacs Lisp,http://en.wikipedia.org/wiki/Emacs_Lisp,"['functional', 'meta', 'reflective']"
Emerald,http://en.wikipedia.org/wiki/Emerald_(programming_language),['object-oriented']
Epigram,http://en.wikipedia.org/wiki/Epigram_(programming_language),['functional']
EPL,http://en.wikipedia.org/wiki/Easy_Programming_Language,
Erlang,http://en.wikipedia.org/wiki/Erlang_(programming_language),"['multi-paradigm', 'concurrent', 'functional']"
es,http://en.wikipedia.org/wiki/Es_(Unix_shell),"['imperative', 'pipeline']"
Escapade,http://en.wikipedia.org/wiki/Escapade_(programming_language),
Escher,http://en.wikipedia.org/wiki/Escher_(programming_language),"['declarative', 'functional', 'logic']"
ESPOL,http://en.wikipedia.org/wiki/Executive_Systems_Problem_Oriented_Language,
Esterel,http://en.wikipedia.org/wiki/Esterel,
Etoys,http://en.wikipedia.org/wiki/Etoys_(programming_language),"['object-oriented', 'prototype-based', 'educational']"
Euclid,http://en.wikipedia.org/wiki/Euclid_(programming_language),"['multi-paradigm', 'structured', 'imperative', 'functional']"
Euler,http://en.wikipedia.org/wiki/Euler_(programming_language),"['procedural', 'imperative', 'structured']"
Euphoria,http://en.wikipedia.org/wiki/Euphoria_(programming_language),"['imperative, procedural']"
EusLisp Robot Programming Language,http://en.wikipedia.org/wiki/EusLisp_Robot_Programming_Language,
CMS EXEC,http://en.wikipedia.org/wiki/CMS_EXEC,
EXEC 2,http://en.wikipedia.org/wiki/EXEC_2,
Executable UML,http://en.wikipedia.org/wiki/Executable_UML,
F,http://en.wikipedia.org/wiki/F_(programming_language),"['procedural', 'modular']"
F#,http://en.wikipedia.org/wiki/F_Sharp_(programming_language),"['multi-paradigm', 'functional', 'imperative', 'object-oriented', 'metaprogramming', 'reflective', 'concurrent']"
Factor,http://en.wikipedia.org/wiki/Factor_(programming_language),"['multi-paradigm', 'functional', 'concatenative', 'stack-oriented']"
Falcon,http://en.wikipedia.org/wiki/Falcon_(programming_language),
Fancy,http://en.wikipedia.org/wiki/Fancy_(programming_language),
Fantom,http://en.wikipedia.org/wiki/Fantom_(programming_language),['multi-paradigm']
FAUST,http://en.wikipedia.org/wiki/FAUST_(programming_language),
Felix,http://en.wikipedia.org/wiki/Felix_(programming_language),
Ferite,http://en.wikipedia.org/wiki/Ferite,
FFP,http://en.wikipedia.org/wiki/FFP_(programming_language),['function-level']
Fjölnir,http://en.wikipedia.org/wiki/Fj%C3%B6lnir_(programming_language),['object-oriented']
FL,http://en.wikipedia.org/wiki/FL_(programming_language),"['function-level', 'functional']"
Flavors,http://en.wikipedia.org/wiki/Flavors_(programming_language),
Flex,http://en.wikipedia.org/wiki/Flex_(programming_language),
FLOW-MATIC,http://en.wikipedia.org/wiki/FLOW-MATIC,['imperative']
FOCAL,http://en.wikipedia.org/wiki/FOCAL_(programming_language),
FOCUS,http://en.wikipedia.org/wiki/FOCUS,
FOIL,http://en.wikipedia.org/wiki/FOIL_(programming_language),
FORMAC,http://en.wikipedia.org/wiki/FORMAC_(programming_language),
@Formula,http://en.wikipedia.org/wiki/Formula_language,
Forth,http://en.wikipedia.org/wiki/Forth_(programming_language),"['procedural', 'stack-oriented', 'reflective', 'concatenative']"
Fortran,http://en.wikipedia.org/wiki/Fortran,"['multi-paradigm', 'structured', 'imperative', 'procedural', 'object-oriented', 'generic']"
Fortress,http://en.wikipedia.org/wiki/Fortress_(programming_language),
FoxBase,http://en.wikipedia.org/wiki/FoxBase,
FoxPro,http://en.wikipedia.org/wiki/FoxPro_(disambiguation),
FP,http://en.wikipedia.org/wiki/FP_(programming_language),['function-level']
FPr,http://en.wikipedia.org/wiki/FPr_(programming_language),
Franz Lisp,http://en.wikipedia.org/wiki/Franz_Lisp,"['multi-paradigm', 'functional', 'procedural', 'reflective', 'meta']"
F-Script,http://en.wikipedia.org/wiki/F-Script_(programming_language),"['multi-paradigm', 'object-oriented', 'array']"
FSProg,http://fr.wikipedia.org/wiki/FSProg,
